1,Texas,32.4,Medium
2,California,24.2,Low
3,Kentucky,34.6,Medium
4,Georgia,30.7,Medium
5,Wisconsin,30.7,Medium
6,Oregon,30.1,Medium
7,Virginia,29.2,Medium
8,Tennessee,33.8,Medium
9,Louisiana,36.2,High
10,New York,25.0,Medium
11,Michigan,31.2,Medium
12,Idaho,28.6,Medium
13,Florida,26.8,Medium
14,Alaska,29.8,Medium
15,Montana,23.6,Low
16,Minnesota,26.1,Medium
17,Nebraska,31.4,Medium
18,Washington,26.4,Medium
19,Ohio,29.8,Medium
20,Illinois,30.8,Medium
21,Missouri,32.4,Medium
22,Iowa,32.1,Medium
23,South Dakota,30.4,Medium
24,Arkansas,34.5,Medium
25,Mississippi,35.6,High
26,Colorado,20.2,Low
27,North Carolina,30.1,Medium
28,Utah,24.5,Low
29,Oklahoma,33.9,Medium
30,Wyoming,29.0,Medium
31,West Virginia,35.6,High
32,Indiana,31.3,Medium
33,Massachusetts,24.3,Low
34,Nevada,26.7,Medium
35,Connecticut,25.3,Medium
38,Alabama,35.6,High
36,District of Columbia,22.1,Low
37,Rhode Island,26.0,Medium
40,South Carolina,31.7,Medium
41,Maine,30.0,Medium
42,Hawaii,22.7,Low
43,Arizona,28.4,Medium
44,New Mexico,28.8,Medium
45,Maryland,28.9,Medium
46,Delaware,29.7,Medium
47,Pennsylvania,30.0,Medium
48,Kansas,34.2,Medium
49,Vermont,25.1,Medium
50,New Jersey,25.6,Medium
51,North Dakota,31.0,Medium
52,New Hampshire,26.3,Medium
53,United States,28.9,Medium
